"3","OnePlus 10 Pro 5G (Volcanic Black, 120W FlashCharge,8GB RAM, 128GB Storage)","mobile3.1.png","OnePlus","63649","66999","5","4.7","2022-04-28 16:36:17"
"4","Samsung Galaxy S21 FE 5G (Lavender, 120W FastCharge,8GB, 256GB Storage)","mobile4.1.png","Samsung","58999","69900","16","4.5","2022-04-28 16:53:15"
"id","name","img","brand","price","delprice","discount","ratings","created_at"
"1","SNEAKERS FOR MEN (MULTICOLOR)","deatailed1.1.jpeg","STROLLIN","399","999","60","4.5","2022-04-26 10:23:28"
"2","CASUAL PARTYWEAR OUTDOORS SHOES","deatailed2.1.jpeg","LAYASA","398","999","60","4.1","2022-04-26 10:23:40"
"3","WALKING SHOES FOR MEN (MULTICOLOR)","deatailed3.1.jpeg","ARIVO","699","1999","65","4.8","2022-04-26 10:23:55"
"4","RAMBOW FUNKY SHOE FOR GYM","deatailed4.1.jpeg","ARDEO","489","1599","69","4.2","2022-04-26 10:24:04"
"5","CASUAL SNEAKERS SHOES FOR MEN SNEAKERS","deatailed5.1.jpeg","EZDEZARIO","499","999","55","4.2","2022-04-26 10:26:41"
"6","411 CASUAL SNEAKERS FOR MEN (BLACK)","deatailed6.1.jpeg","NUMENZO","499","1999","75","4.2","2022-04-26 10:26:41"
"7","CASUALS FOR MEN (MULTICOLOR)","deatailed7.2.jpeg","MAGNOLIA","399","1499","73","4.5","2022-04-26 10:29:49"
"8","SHOES FOR MEN (BLACK, GREY)","deatailed8.1.jpeg","HIDA","399","999","60","4.1","2022-04-26 10:29:49"
"id","name","img","brand","price","delprice","discount","ratings","created_at"
"1","Neulife Badminton Steel Racket with 3 Shuttlecock (Multicolor,Set of 2)","batmentan.png","Neulife","220","399","45","3","2022-05-28 22:30:04"
"2","Adrenex by Flipkart TrainX Football - Size: 5  (Pack of 1, Multicolor)","football.png","TrainX","269","579","53","4","2022-05-28 22:34:55"
"3","PRO GYM Men Cool Dry Compression T-Shirt & Lower for Athletic Workout and Running (Black, Medium)","sportsware.jpg","PRO GYM","698","999","30","4","2022-05-28 22:46:16"
"4","NAVYSPORT Mens Calf Length Cotton Socks - Pack of 3.","sportssocks.jpg","NAVYSPORT","259","599","57","4","2022-05-28 22:50:37"
"5","Gear Statement Maxis Duffel-cum-Backpack 33 Ltrs Black-Yellow Travel Duffle for Gym, Biking, Sport.","sportsabag.jpg","Gear","895","999","10","4","2022-05-28 22:53:29"
